name,data
INDUSTRIAL CONCRETE PRODUCTS BERHAD (KGF),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KGF)"",""alamat"":""LOT 22936, BATU 6, JALAN KEBUN, KG. JAWA,\n42450 KLANG\nSELANGOR"",""ampere"":""1000A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KGF)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KGF)"",""default_remark"":""Electrical loading: 253.0V @ 0.99A. PF: 0.91."",""default_remarks"":[""Electrical loading: 253.0V @ 0.99A. PF: 0.91."",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF - SOLAR),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF - SOLAR)"",""alamat"":""LOT 5777, NILAI INDUSTRIAL ESTATE, KAWASAN PERINDUSTRI NILAI 1,\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""500A"",""kepada"":""Melaka"",""voltan"":""400V"",""category"":""Part 1"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF - SOLAR)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF - SOLAR)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF)"",""alamat"":""LOT 5777, NILAI INDUSTRIAL ESTATE, KAWASAN PERINDUSTRI NILAI 1,\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""2X1000A"",""kepada"":""Melaka"",""voltan"":""400V"",""category"":""Part 1"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (NIF)"",""default_remark"":""Feeder 1: 247.5V 172.0A PF: 0.96.\nFeeder 2: 249.5V 115.0A PF: 0.94.\nGenset run: 238.5hr @ 45.0kWh."",""default_remarks"":[""Feeder 1: 247.5V 172.0A PF: 0.96.\nFeeder 2: 249.5V 115.0A PF: 0.94.\nGenset run: 238.5hr @ 45.0kWh."",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS BERHAD. (KG. TOK MUDA),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD. (KG. TOK MUDA)"",""alamat"":""BATU 12 1/2 KG. TOK MUDA\n42200 KAPAR\nSELANGOR"",""ampere"":""100A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA) (GILIRAN NO.2)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD. (KG. TOK MUDA)"",""default_remark"":""Loading: 11.2kV @ <10A.\nGenset run: 134.88hr @ 63.2kWh."",""default_remarks"":[""Loading: 11.2kV @ <10A.\nGenset run: 134.88hr @ 63.2kWh."",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP 1 - SOLAR),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP 1 - SOLAR)"",""alamat"":""PART OF NO. LOT 129951, BATU 6, JALAN KEBUN KAMPUNG JAWA,\n42450 KLANG\nSELANGOR"",""ampere"":""800A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP 1 - SOLAR)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP 1 - SOLAR)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP E/R),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP E/R)"",""alamat"":""LOT 83338, JALAN KEBUN BATU 6,\n40460 SHAH ALAM\nSELANGOR"",""ampere"":""1000A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP E/R)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS SDN BHD (ICP E/R)"",""default_remark"":""Loading: 249V @ 90A, PF: 0.92."",""default_remarks"":[""Loading: 249V @ 90A, PF: 0.92."",""Tiada"",""Tiada""]}"
K-FLEX (KILANG A),"{""klien"":""K-FLEX (KILANG A)"",""alamat"":""LOT 2752\nJALAN RAJA NONG\nTAMAN KLANG JAYA\n41200 KLANG\nSELANGOR"",""ampere"":""400A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""K-FLEX (KILANG A)"",""giliran_no"":""1"",""company_name"":""K-FLEX (KILANG A)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
K-FLEX (KILANG B),"{""klien"":""K-FLEX (KILANG B)"",""alamat"":""LOT 2752\nJALAN RAJA NONG\nTAMAN KLANG JAYA\n41200 KLANG\nSELANGOR"",""ampere"":""1200A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""K-FLEX (KILANG B)"",""giliran_no"":""1"",""company_name"":""K-FLEX (KILANG B)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
K-FLEX (KILANG C),"{""klien"":""K-FLEX (KILANG C)"",""alamat"":""LOT 2751\nJALAN RAJA NONG\nTAMAN KLANG JAYA\n41200 KLANG\nSELANGOR"",""ampere"":""120A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""K-FLEX (KILANG C) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""K-FLEX (KILANG C)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
K-FLEX (KILANG D),"{""klien"":""K-FLEX (KILANG D)"",""alamat"":""LOT 2751\nJALAN RAJA NONG\nTAMAN KLANG JAYA\n41200 KLANG\nSELANGOR"",""ampere"":""70A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""K-FLEX (KILANG D) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""K-FLEX (KILANG D)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
K-FLEX. (KILANG C),"{""klien"":""K-FLEX. (KILANG C)"",""alamat"":""LOT 2751\nJALAN RAJA NONG\nTAMAN KLANG JAYA\n41200 KLANG\nSELANGOR"",""ampere"":""120A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""K-FLEX (KILANG C) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""K-FLEX. (KILANG C)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
K-FLEX. (KILANG D),"{""klien"":""K-FLEX. (KILANG D)"",""alamat"":""LOT 2751\nJALAN RAJA NONG\nTAMAN KLANG JAYA\n41200 KLANG\nSELANGOR"",""ampere"":""70A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""K-FLEX (KILANG D) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""K-FLEX. (KILANG D)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
KINTETSU WORLD EXPRESS (MALAYSIA) SDN BHD,"{""klien"":""KINTETSU WORLD EXPRESS (MALAYSIA) SDN BHD"",""alamat"":""KLIA CARGO VILLAGE, FREE COMMERCIAL ZONE FCZ, JALAN KLIA S3,\n64000 SEPANG\nSELANGOR"",""ampere"":""1152A"",""kepada"":""Selangor"",""voltan"":""415V Genset"",""category"":""Part 1"",""nickname"":""KINTETSU WORLD EXPRESS (MALAYSIA) SDN BHD"",""giliran_no"":""1"",""company_name"":""KINTETSU WORLD EXPRESS (MALAYSIA) SDN BHD"",""default_remark"":""To provide schematic diagram with Professional Engineer endorsement at the Genset area."",""default_remarks"":[""To provide schematic diagram with Professional Engineer endorsement at the Genset area."",""Tiada"",""Tiada""]}"
MALAYSIA ASSOCIATED FOR THE BLIND,"{""klien"":""MALAYSIA ASSOCIATED FOR THE BLIND"",""alamat"":""Komplek MAB, Jalan Tebing. Off Jalan Sambanthan 4,\n50470 KUALA LUMPUR\nWILAYAH PERSEKUTUAN KUALA LUMPUR"",""ampere"":""500A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""MALAYSIA ASSOCIATED FOR THE BLIND"",""giliran_no"":""1"",""company_name"":""MALAYSIA ASSOCIATED FOR THE BLIND"",""default_remark"":""Electrical loading: 245V @ 30A, PF:0.95."",""default_remarks"":[""Electrical loading: 245V @ 30A, PF:0.95."",""Tiada"",""Tiada""]}"
MNA METAL RESOURCES SDN BHD,"{""klien"":""MNA METAL RESOURCES SDN BHD"",""alamat"":""112, JALAN 1/4, ARAB MALAYSIAN INDUSTRIAL PARK,\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""1200A"",""kepada"":""Melaka"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""MNA METAL RESOURCES SDN BHD"",""giliran_no"":""1"",""company_name"":""MNA METAL RESOURCES SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
MODERNRIA PLASTIC INDUSTRIES (M) SDN BHD,"{""klien"":""MODERNRIA PLASTIC INDUSTRIES (M) SDN BHD"",""alamat"":""LOT 5, PERSIARAN PERUSAHAAN, SEKSYEN 23,\n40000 SHAH ALAM\nSELANGOR"",""ampere"":""200A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""MODERNRIA PLASTIC INDUSTRIES (M) SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""MODERNRIA PLASTIC INDUSTRIES (M) SDN BHD"",""default_remark"":""Suruhanjaya Tenaga registration was expired on 11-09-2024. To renew.\nTo recalibrate protection relay expired on 21-08-2024."",""default_remarks"":[""Suruhanjaya Tenaga registration was expired on 11-09-2024. To renew.\nTo recalibrate protection relay expired on 21-08-2024."",""Tiada"",""Tiada""]}"
MODERNRIA PLASTIC INDUSTRIES (M) SDN. BHD.,"{""klien"":""MODERNRIA PLASTIC INDUSTRIES (M) SDN. BHD."",""alamat"":""LOT 5, PERSIARAN PERUSAHAAN, SEKSYEN 23,\n40000 SHAH ALAM\nSELANGOR"",""ampere"":""200A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""MODERNRIA PLASTIC INDUSTRIES (M) SDN. BHD. (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""MODERNRIA PLASTIC INDUSTRIES (M) SDN. BHD."",""default_remark"":""Suruhanjaya Tenaga registration was expired on 11-09-2024. To renew.\nTo recalibrate protection relay expired on 21-08-2024."",""default_remarks"":[""Suruhanjaya Tenaga registration was expired on 11-09-2024. To renew.\nTo recalibrate protection relay expired on 21-08-2024."",""Tiada"",""Tiada""]}"
N-COMFORT SDN BHD,"{""klien"":""N-COMFORT SDN BHD"",""alamat"":""LOT 15796 JALAN KEBUN BATU 5 1/2\n40460 SHAH ALAM\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 1"",""nickname"":""N-COMFORT SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""N-COMFORT SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
N-COMFORT SDN. BHD,"{""klien"":""N-COMFORT SDN. BHD"",""alamat"":""LOT 15796 JALAN KEBUN BATU 5 1/2\n40460 SHAH ALAM\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 1"",""nickname"":""N-COMFORT SDN BHD (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""N-COMFORT SDN. BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
ORIENTAL SAN INDUSTRIES SDN BHD,"{""klien"":""ORIENTAL SAN INDUSTRIES SDN BHD"",""alamat"":""PT 2486\nKAWASAN PERINDUSTRIAN NILAI\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""150A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""ORIENTAL SAN INDUSTRIES SDN BHD (GILIRAN 1 NEGERI SEMBILAN)"",""giliran_no"":""1"",""company_name"":""ORIENTAL SAN INDUSTRIES SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
ORIENTAL SAN INDUSTRIES SDN. BHD.,"{""klien"":""ORIENTAL SAN INDUSTRIES SDN. BHD."",""alamat"":""PT 2486\nKAWASAN PERINDUSTRIAN NILAI\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""150A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""ORIENTAL SAN INDUSTRIES SDN. BHD.  (GILIRAN NO.2 NEGERI SEMBILAN)"",""giliran_no"":""2"",""company_name"":""ORIENTAL SAN INDUSTRIES SDN. BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
ORTUSTECH (MALAYSIA) SDN BHD (SOLAR),"{""klien"":""ORTUSTECH (MALAYSIA) SDN BHD (SOLAR)"",""alamat"":""LOT 760, JALAN HAJI SIRAT, OFF JALAN KAPAR,\n42100 KLANG\nSELANGOR"",""ampere"":""300A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""ORTUSTECH (MALAYSIA) SDN BHD (SOLAR)"",""giliran_no"":""1"",""company_name"":""ORTUSTECH (MALAYSIA) SDN BHD (SOLAR)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
PERBADANAN PENGURUSAN THE USJ 19 CITY MALL,"{""klien"":""PERBADANAN PENGURUSAN THE USJ 19 CITY MALL"",""alamat"":""AT RL 2.172, THE 19 USJ CITY MALL,\nJALAN PERSIARAN KEWAJIPAN USJ 19,\n47620 SUBANG JAYA\nSELANGOR"",""ampere"":""2x300A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""PERBADANAN PENGURUSAN THE USJ 19 CITY MALL (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""PERBADANAN PENGURUSAN THE USJ 19 CITY MALL"",""default_remark"":""To register installation with Energy Comission.\nTo display single line diagram with Professional Engineer endorsement.\nTo engage a competent chargeman for the installation operation.\nTo check and rectify all the capacitor banks for MSBs to avoid TNB's penalty.\nTo fix all faulty exhaust fans for HT and LV rooms."",""default_remarks"":[""To register installation with Energy Comission.\nTo display single line diagram with Professional Engineer endorsement.\nTo engage a competent chargeman for the installation operation.\nTo check and rectify all the capacitor banks for MSBs to avoid TNB's penalty.\nTo fix all faulty exhaust fans for HT and LV rooms."",""To reinstate all discharge CO2 cylinders.\nTo service all the switchgears and transformers.\nTo repair faulty protection relay.\nTo repair all malfunction capacitor bank."",""Tiada""]}"
PERBADANAN PENGURUSAN THE USJ 19 CITY MALL.,"{""klien"":""PERBADANAN PENGURUSAN THE USJ 19 CITY MALL."",""alamat"":""AT RL 2.172, THE 19 USJ CITY MALL,\nJALAN PERSIARAN KEWAJIPAN USJ 19,\n47620 SUBANG JAYA\nSELANGOR"",""ampere"":""2x300A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""PERBADANAN PENGURUSAN THE USJ 19 CITY MALL. (GILIRAN NO.2)"",""giliran_no"":""1"",""company_name"":""PERBADANAN PENGURUSAN THE USJ 19 CITY MALL."",""default_remark"":""To register installation with Energy Comission.\nTo display single line diagram with Professional Engineer endorsement.\nTo engage a competent chargeman for the installation operation.\nTo check and rectify all the capacitor banks for MSBs to avoid TNB's penalty.\nTo fix all faulty exhaust fans for HT and LV rooms."",""default_remarks"":[""To register installation with Energy Comission.\nTo display single line diagram with Professional Engineer endorsement.\nTo engage a competent chargeman for the installation operation.\nTo check and rectify all the capacitor banks for MSBs to avoid TNB's penalty.\nTo fix all faulty exhaust fans for HT and LV rooms."",""To reinstate all discharge CO2 cylinders.\nTo service all the switchgears and transformers.\nTo repair faulty protection relay.\nTo repair all malfunction capacitor bank."",""Tiada""]}"
RHONE MA MALAYSIA (KAPAR WAREHOUSE),"{""klien"":""RHONE MA MALAYSIA (KAPAR WAREHOUSE)"",""alamat"":""NO. 2, JALAN BESTARI 2/KU7,\nTAMAN PERINDUSTRIAN KAPAR BESTARI,\nSUNGAI KAPAR INDAH, KAPAR,\n42200 KLANG\nSELANGOR"",""ampere"":""200A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""RHONE MA MALAYSIA (KAPAR WAREHOUSE)"",""giliran_no"":""1"",""company_name"":""RHONE MA MALAYSIA (KAPAR WAREHOUSE)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
RHONE MA MALAYSIA SDN BHD,"{""klien"":""RHONE MA MALAYSIA SDN BHD"",""alamat"":""LOT 16008, JALAN NILAM 3\nKAWASAN PERINDUSTRIAN NILAI UTAMA\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""100A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""RHONE MA MALAYSIA SDN BHD ( NEGERI SEMBILAN) ( GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""RHONE MA MALAYSIA SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
RHONE MA MALAYSIA SDN BHD.,"{""klien"":""RHONE MA MALAYSIA SDN BHD."",""alamat"":""LOT 18B, JALAN 241,\nSEKSYEN 51A,\n46100 PETALING JAYA\nSELANGOR"",""ampere"":""3x200A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""RHONE MA MALAYSIA SDN BHD. (SELANGOR)"",""giliran_no"":""1"",""company_name"":""RHONE MA MALAYSIA SDN BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
RHONE MA MALAYSIA SDN. BHD.,"{""klien"":""RHONE MA MALAYSIA SDN. BHD."",""alamat"":""LOT 16008, JALAN NILAM 3\nKAWASAN PERINDUSTRIAN NILAI UTAMA\n71800 NILAI\nNEGERI SEMBILAN"",""ampere"":""100A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""RHONE MA MALAYSIA SDN BHD (NEGERI SEMBILAN) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""RHONE MA MALAYSIA SDN. BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
SHINOBE (M) SDN BHD,"{""klien"":""SHINOBE (M) SDN BHD"",""alamat"":""LOT 2, JALAN UTARID U5/16, MUTIARA SUBANG, SEKSYEN U5,\nSeksyen U5\n40150 SHAH ALAM\nSELANGOR"",""ampere"":""800A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""SHINOBE (M) SDN BHD"",""giliran_no"":""1"",""company_name"":""SHINOBE (M) SDN BHD"",""default_remark"":""Relay calibration over due 28-3-26"",""default_remarks"":[""Relay calibration over due 28-3-26"",""Tiada"",""Tiada""]}"
STAR MEDIA GROUP BERHAD (P J),"{""klien"":""STAR MEDIA GROUP BERHAD (P J)"",""alamat"":""MENARA STAR 2\nLOT 141 (PT16), JALAN 13/6,\nSEKSYEN 13,\n46350 PETALING JAYA\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""STAR MEDIA GROUP BERHAD (P J) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""STAR MEDIA GROUP BERHAD (P J)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
STAR MEDIA GROUP BERHAD (PHILOE DAMANSARA),"{""klien"":""STAR MEDIA GROUP BERHAD (PHILOE DAMANSARA)"",""alamat"":""NO. 15, MENARA STAR, PHILOE DAMANSARA 2, JALAN 16/11,\n46350 PETALING JAYA\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""STAR MEDIA GROUP BERHAD (PHILOE DAMANSARA) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""STAR MEDIA GROUP BERHAD (PHILOE DAMANSARA)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
STAR MEDIA GROUP BERHAD. (P J),"{""klien"":""STAR MEDIA GROUP BERHAD. (P J)"",""alamat"":""MENARA STAR 2\nLOT 141 (PT16), JALAN 13/6,\nSEKSYEN 13,\n46350 PETALING JAYA\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""STAR MEDIA GROUP BERHAD. (P J) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""STAR MEDIA GROUP BERHAD. (P J)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
STAR MEDIA GROUP BERHAD. (PHILOE DAMANSARA),"{""klien"":""STAR MEDIA GROUP BERHAD. (PHILOE DAMANSARA)"",""alamat"":""NO. 15, MENARA STAR, PHILOE DAMANSARA 2, JALAN 16/11,\n46350 PETALING JAYA\nSELANGOR"",""ampere"":""150A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""STAR MEDIA GROUP BERHAD. (PHILOE DAMANSARA) (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""STAR MEDIA GROUP BERHAD. (PHILOE DAMANSARA)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
SUN POWER AUTOMATION SDN BHD,"{""klien"":""SUN POWER AUTOMATION SDN BHD"",""alamat"":""LOT 1554, KAMPUNG JAYA INDUSTRIAL AREA,\n47000 SUNGAI BULOH\nSELANGOR"",""ampere"":""1200A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 1"",""nickname"":""SUN POWER AUTOMATION SDN BHD"",""giliran_no"":""1"",""company_name"":""SUN POWER AUTOMATION SDN BHD"",""default_remark"":""Consumer MSB: 422.8/422.6/422.1V. 85.4/87.9/68.5A. PF:0.95.\nSSB: 422.3/421.4/422.2V. 69.2/65.7/68.2A. PF:0.92.\nRecalibration protection relay will expire on 26-10-2026."",""default_remarks"":[""Consumer MSB: 422.8/422.6/422.1V. 85.4/87.9/68.5A. PF:0.95.\nSSB: 422.3/421.4/422.2V. 69.2/65.7/68.2A. PF:0.92.\nRecalibration protection relay will expire on 26-10-2026."",""Tiada"",""Tiada""]}"
SUPERLON WORLDWIDE SDN BHD,"{""klien"":""SUPERLON WORLDWIDE SDN BHD"",""alamat"":""LOT 2567, JALAN SUNGAI JATI,\n41200 KLANG\nSELANGOR"",""ampere"":""200A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""SUPERLON WORLDWIDE SDN BHD"",""giliran_no"":""1"",""company_name"":""SUPERLON WORLDWIDE SDN BHD"",""default_remark"":""Recommend to service all the VCB, TX, ACB and 30V DC Battery Unit as the last service was on 2022."",""default_remarks"":[""Recommend to service all the VCB, TX, ACB and 30V DC Battery Unit as the last service was on 2022."",""Tiada"",""Tiada""]}"
SUPERMAX GLOVE MANUFACTURING SDN BHD,"{""klien"":""SUPERMAX GLOVE MANUFACTURING SDN BHD"",""alamat"":""LOT 38, PUTRA INDUSTRIAL PARK\nBUKIT RAHMAN PUTRA\n47000 SUNGAI BULOH\nSELANGOR"",""ampere"":""172A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 1"",""nickname"":""SUPERMAX GLOVE MANUFACTURING SDN BHD (Lot 38)"",""giliran_no"":""1"",""company_name"":""SUPERMAX GLOVE MANUFACTURING SDN BHD"",""default_remark"":""Incoming: 11.2kV @ 10A, PF:0.92."",""default_remarks"":[""Incoming: 11.2kV @ 10A, PF:0.92."",""Tiada"",""Tiada""]}"
SUPERMAX GLOVE MANUFACTURING SDN. BHD,"{""klien"":""SUPERMAX GLOVE MANUFACTURING SDN. BHD"",""alamat"":""LOT 42, JALAN BRP 9/2\nPUTRA INDUSTRIAL PARK BUKIT RAHMAN PUTRA\n47000 SUNGAI BULOH\nSELANGOR"",""ampere"":""62A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 1"",""nickname"":""SUPERMAX GLOVE MANUFACTURING SDN. BHD (Lot 42)"",""giliran_no"":""1"",""company_name"":""SUPERMAX GLOVE MANUFACTURING SDN. BHD"",""default_remark"":""Incoming: 11.2kV @ 5A, PF:0.93."",""default_remarks"":[""Incoming: 11.2kV @ 5A, PF:0.93."",""Tiada"",""Tiada""]}"
SUSUNAN BARU SDN BHD,"{""klien"":""SUSUNAN BARU SDN BHD"",""alamat"":""TINGKAT 4, WISMA CHEONG HIN, NO. 116 -118, JALAN PUDU\n55100 KUALA LUMPUR\nWILAYAH PERSEKUTUAN KUALA LUMPUR"",""ampere"":""500A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""SUSUNAN BARU SDN BHD"",""giliran_no"":""1"",""company_name"":""SUSUNAN BARU SDN BHD"",""default_remark"":""Protection relay recalibration will expire on 23-07-2027.\nGenset registration expired on 10-06-2026."",""default_remarks"":[""Protection relay recalibration will expire on 23-07-2027.\nGenset registration expired on 10-06-2026."",""Tiada"",""Tiada""]}"
THREE V HOLDINGS SDN BHD,"{""klien"":""THREE V HOLDINGS SDN BHD"",""alamat"":""LOT 8361 & 8382   KAWASAN PERUMAHAN BUKIT ANGKAT\nSG CHUA \n43000 KAJANG \nSELANGOR"",""ampere"":""1600A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""THREE V HOLDINGS SDN BHD"",""giliran_no"":""1"",""company_name"":""THREE V HOLDINGS SDN BHD"",""default_remark"":""A charge-man of grade “A4” is required to operate the installations and Gen Sets.\nFEEDER 1 PF 0.92 FEEDER 2 PF 0.93"",""default_remarks"":[""A charge-man of grade “A4” is required to operate the installations and Gen Sets.\nFEEDER 1 PF 0.92 FEEDER 2 PF 0.93"",""Tiada"",""Tiada""]}"
TOP GLOVE (F10) (SOLAR SYSTEM),"{""klien"":""TOP GLOVE (F10) (SOLAR SYSTEM)"",""alamat"":""LOT 4971, JALAN TERATAI, OFF JALAN MERU,\n41050 KLANG\nSELANGOR"",""ampere"":""400A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 2"",""nickname"":""TOP GLOVE (F10) (SOLAR SYSTEM)"",""giliran_no"":""1"",""company_name"":""TOP GLOVE (F10) (SOLAR SYSTEM)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
