name,data
EVERGREEN MARINE CORPORATION (M) SDN BHD,"{""klien"":""EVERGREEN MARINE CORPORATION (M) SDN BHD"",""alamat"":""7, JALAN JURUTERA U1/23\nHICOM-GLENMARIE INDUSTRIAL PARK\n40150 SHAH ALAM\nSELANGOR"",""ampere"":""400A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""EVERGREEN MARINE CORPORATION (M) SDN BHD"",""giliran_no"":""1"",""company_name"":""EVERGREEN MARINE CORPORATION (M) SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
EXCELLENT BLOSSOM SDN BHD,"{""klien"":""EXCELLENT BLOSSOM SDN BHD"",""alamat"":""DKSH MALAYSIA SDN BHD\n3, JALAN SEPINTAS 26/13, HICOM INDUSTRIAL ESTATE,\n40400 SHAH ALAM\nSELANGOR"",""ampere"":""700A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""EXCELLENT BLOSSOM SDN BHD (DKSH SHAH ALAM)"",""giliran_no"":""1"",""company_name"":""EXCELLENT BLOSSOM SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""To PE Endorsed SLD at the PV MSB"",""Tiada""]}"
EXPRESS AUDIO INDUSTRY SDN BHD,"{""klien"":""EXPRESS AUDIO INDUSTRY SDN BHD"",""alamat"":""LOT. 19089, NO. 6, JALAN TAMING 1,\nTAMAN TAMING JAYA,\n43300 BALAKONG\nSELANGOR"",""ampere"":""60A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""EXPRESS AUDIO INDUSTRY SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""EXPRESS AUDIO INDUSTRY SDN BHD"",""default_remark"":""To clean up MSB room"",""default_remarks"":[""To clean up MSB room"",""Tiada"",""Tiada""]}"
EXPRESS AUDIO INDUSTRY SDN. BHD.,"{""klien"":""EXPRESS AUDIO INDUSTRY SDN. BHD."",""alamat"":""LOT. 19089, NO. 6, JALAN TAMING 1,\nTAMAN TAMING JAYA,\n43300 BALAKONG\nSELANGOR"",""ampere"":""60A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""EXPRESS AUDIO INDUSTRY SDN. BHD. (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""EXPRESS AUDIO INDUSTRY SDN. BHD."",""default_remark"":""To clean up MSB room"",""default_remarks"":[""To clean up MSB room"",""Tiada"",""Tiada""]}"
GLOWMORE EXPRESS SDN BHD,"{""klien"":""GLOWMORE EXPRESS SDN BHD"",""alamat"":""LOT 4248, JALAN SULTAN HISHAMUDDIN 2, BANDAR SULTAN SULEIMAN,\n42000 PELABOHAN KELANG\nSELANGOR"",""ampere"":""800A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""GLOWMORE EXPRESS SDN BHD"",""giliran_no"":""1"",""company_name"":""GLOWMORE EXPRESS SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GR INDUSTRIES SDN BHD,"{""klien"":""GR INDUSTRIES SDN BHD"",""alamat"":""NO.1, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIAN KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GR INDUSTRIES SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""GR INDUSTRIES SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GR INDUSTRIES SDN. BHD.,"{""klien"":""GR INDUSTRIES SDN. BHD."",""alamat"":""NO.1, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIAN KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GR INDUSTRIES SDN. BHD. (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""GR INDUSTRIES SDN. BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F11),"{""klien"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F11)"",""alamat"":""NO. 1, 3 & 5, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIES KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GT-MAX PLASTIC INDUSTRIES (M) SDN. BHD. (F11) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F11)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F12),"{""klien"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F12)"",""alamat"":""NO. 1, 3 & 5, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIES KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F12)  (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F12)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F13),"{""klien"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F13)"",""alamat"":""NO. 1, 3 & 5, JALAN BESTARI 1A/KU7, TAMAN PERINDUSTRIES KAPAR BESTARI,\n42200 KLANG\nSELANGOR"",""ampere"":""50A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F13) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""GT-MAX PLASTIC INDUSTRIES (M) SDN BHD (F13)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
